FIPS,County,State,Country,County and State,Lat,Long,Confirmed,Deaths,Active,Avg Household Size,Avg Number of Children per Household,Avg Number of Adults per Household,Total Population 65 and Older,Total Number of Workers 16 Years Old and Over,Percent of Workers Using Public Transport,Total Population,Total Population White,Percent of Population White,Total Population African American or Black,Percent of Population African American or Black,Total Population American Indian or Alaskan Native,Percent of Population American Indian or Alaskan Native,Total Population Asian,Percent of Population Asian,Total Population Native Hawaiian and Pacific Islander,Percent of Population Native Hawaiian and Pacific Islander
53029,Island,Washington,US,"Island County, Washington",48.14713305,-122.5216407,141,5,0,2.35,0.5,1.86,19138,36399,2.6,84460,71787,0.85,1717,0.0203,379,0.0045,3551,0.042,254,0.003
53033,King,Washington,US,"King County, Washington",47.49137892,-121.8346131,3331,222,0,2.4,0.52,1.88,274609,1153731,13.4,2233163,1408383,0.6307,150183,0.0673,14104,0.0063,399090,0.1787,17348,0.0078
53035,Kitsap,Washington,US,"Kitsap County, Washington",47.63479026,-122.6436061,104,0,0,2.49,0.58,1.91,44246,124015,8.9,269805,215234,0.7977,6585,0.0244,2314,0.0086,13575,0.0503,2739,0.0102
53041,Lewis,Washington,US,"Lewis County, Washington",46.57756476,-122.3925769,16,0,0,2.51,0.58,1.92,15686,29793,0.5,79604,70849,0.89,267,0.0034,355,0.0045,435,0.0055,186,0.0023
53045,Mason,Washington,US,"Mason County, Washington",47.35007586,-123.1863685,15,0,0,2.45,0.52,1.93,13868,23490,1.8,65507,52999,0.8091,815,0.0124,1130,0.0173,878,0.0134,384,0.0059
53053,Pierce,Washington,US,"Pierce County, Washington",47.03892768,-122.1405958,717,12,0,2.59,0.66,1.93,113665,403858,3.7,891299,652387,0.732,59853,0.0672,11197,0.0126,59986,0.0673,13730,0.0154
53057,Skagit,Washington,US,"Skagit County, Washington",48.48171488,-121.766131,161,4,0,2.53,0.6,1.93,24374,54798,0.9,128206,102150,0.7968,972,0.0076,3225,0.0252,3195,0.0249,115,0.0009
53061,Snohomish,Washington,US,"Snohomish County, Washington",48.04615983,-121.7170703,1603,58,0,2.62,0.65,1.97,99868,396516,5.4,814901,609055,0.7474,26594,0.0326,6849,0.0084,94095,0.1155,4557,0.0056
53063,Spokane,Washington,US,"Spokane County, Washington",47.62113146,-117.4046494,222,12,0,2.44,0.58,1.86,76680,225182,2.7,514631,447999,0.8705,8884,0.0173,7317,0.0142,11786,0.0229,3143,0.0061
53067,Thurston,Washington,US,"Thurston County, Washington",46.9291895,-122.8290656,67,1,0,2.46,0.57,1.89,44614,127821,1.7,286419,230886,0.8061,8869,0.031,3392,0.0118,17362,0.0606,2640,0.0092
53073,Whatcom,Washington,US,"Whatcom County, Washington",48.82227976,-121.7490018,228,19,0,2.43,0.52,1.91,35496,102843,2.3,225685,188397,0.8348,2215,0.0098,6013,0.0266,10285,0.0456,324,0.0014
53077,Yakima,Washington,US,"Yakima County, Washington",46.45738486,-120.7380126,363,12,0,2.97,0.92,2.06,32887,102579,0.5,251446,189035,0.7518,3286,0.0131,10696,0.0425,2601,0.0103,241,0.001
54003,Berkeley,West Virginia,US,"Berkeley County, West Virginia",39.46704621,-78.02414609,54,0,0,2.59,0.66,1.93,15950,53238,0.8,117123,101836,0.8695,8757,0.0748,0,0,771,0.0066,0,0
54011,Cabell,West Virginia,US,"Cabell County, West Virginia",38.42424062,-82.23855912,7,0,0,2.24,0.45,1.79,16980,37982,1.6,93224,84076,0.9019,4272,0.0458,330,0.0035,974,0.0104,24,0.0003
54039,Kanawha,West Virginia,US,"Kanawha County, West Virginia",38.33860077,-81.52857054,56,0,0,2.26,0.47,1.78,36007,78210,2.2,180454,159612,0.8845,13481,0.0747,663,0.0037,2130,0.0118,0,0
54061,Monongalia,West Virginia,US,"Monongalia County, West Virginia",39.63218457,-80.04766838,53,1,0,2.24,0.38,1.85,12278,49190,2.7,106420,94993,0.8926,3870,0.0364,188,0.0018,3553,0.0334,0,0
55009,Brown,Wisconsin,US,"Brown County, Wisconsin",44.4526553,-88.00411844,39,0,0,2.45,0.63,1.83,36047,134549,0.7,263378,227653,0.8644,7080,0.0269,5931,0.0225,8374,0.0318,259,0.001
55025,Dane,Wisconsin,US,"Dane County, Wisconsin",43.06601594,-89.41733797,287,9,0,2.33,0.52,1.81,67689,297700,5.2,542364,455648,0.8401,28565,0.0527,2407,0.0044,31998,0.059,169,0.0003
55027,Dodge,Wisconsin,US,"Dodge County, Wisconsin",43.41576662,-88.70928178,15,0,0,2.44,0.57,1.87,14626,43841,0.1,87847,81092,0.9231,2812,0.032,292,0.0033,789,0.009,39,0.0004
55035,Eau Claire,Wisconsin,US,"Eau Claire County, Wisconsin",44.726614,-91.28609183,21,0,0,2.38,0.52,1.85,15201,55013,0.7,104534,95986,0.9182,661,0.0063,58,0.0006,5320,0.0509,0,0
55039,Fond du Lac,Wisconsin,US,"Fond du Lac County, Wisconsin",43.75354908,-88.48885325,43,2,0,2.41,0.56,1.85,17808,52720,0.2,103066,97095,0.9421,2801,0.0272,442,0.0043,298,0.0029,0,0
55055,Jefferson,Wisconsin,US,"Jefferson County, Wisconsin",43.02054068,-88.77529134,14,0,0,2.49,0.61,1.88,13470,45084,0.2,85129,79602,0.9351,807,0.0095,37,0.0004,763,0.009,0,0
55059,Kenosha,Wisconsin,US,"Kenosha County, Wisconsin",42.57639354,-88.04051686,104,1,0,2.58,0.68,1.9,22280,82807,1.1,169290,144923,0.8561,11929,0.0705,414,0.0024,3174,0.0187,83,0.0005
55063,La Crosse,Wisconsin,US,"La Crosse County, Wisconsin",43.90632465,-91.11451093,22,0,0,2.37,0.53,1.84,18109,61733,0.9,118230,107165,0.9064,2283,0.0193,457,0.0039,5264,0.0445,0,0
55071,Manitowoc,Wisconsin,US,"Manitowoc County, Wisconsin",44.11946801,-87.80928853,3,0,0,2.36,0.54,1.83,15309,40129,0.3,79074,74237,0.9388,996,0.0126,430,0.0054,2187,0.0277,0,0
55073,Marathon,Wisconsin,US,"Marathon County, Wisconsin",44.89792533,-89.75863384,12,0,0,2.49,0.62,1.87,22508,70140,0.5,135428,121953,0.9005,841,0.0062,183,0.0014,8053,0.0595,115,0.0008
55079,Milwaukee,Wisconsin,US,"Milwaukee County, Wisconsin",43.00486062,-87.96733172,1256,40,0,2.41,0.61,1.79,123013,452312,5.3,948201,550740,0.5808,248555,0.2621,4695,0.005,41949,0.0442,290,0.0003
55087,Outagamie,Wisconsin,US,"Outagamie County, Wisconsin",44.41578887,-88.46565023,22,1,0,2.49,0.64,1.86,25661,98243,0.6,187365,168165,0.8975,3565,0.019,3220,0.0172,5624,0.03,0,0
55089,Ozaukee,Wisconsin,US,"Ozaukee County, Wisconsin",43.38352225,-87.94625009,62,6,0,2.47,0.6,1.88,16411,46381,0.7,89147,82676,0.9274,1100,0.0123,221,0.0025,1857,0.0208,84,0.0009
55097,Portage,Wisconsin,US,"Portage County, Wisconsin",44.47558711,-89.50152965,3,0,0,2.39,0.52,1.87,10985,37037,0.4,70942,65360,0.9213,377,0.0053,209,0.0029,2338,0.033,41,0.0006
55101,Racine,Wisconsin,US,"Racine County, Wisconsin",42.74753117,-88.05941254,57,2,0,2.52,0.64,1.88,30527,92976,1.5,196584,161492,0.8215,23401,0.119,541,0.0028,2756,0.014,131,0.0007
55105,Rock,Wisconsin,US,"Rock County, Wisconsin",42.67151616,-89.071479,34,2,0,2.5,0.64,1.86,25528,78301,0.6,163129,140071,0.8587,6476,0.0397,637,0.0039,2059,0.0126,25,0.0002
55109,St. Croix,Wisconsin,US,"St. Croix County, Wisconsin",45.03437474,-92.45000068,7,0,0,2.63,0.72,1.91,11411,47641,0.5,89694,85019,0.9479,274,0.0031,209,0.0023,937,0.0104,0,0
55117,Sheboygan,Wisconsin,US,"Sheboygan County, Wisconsin",43.72099677,-87.94579284,21,2,0,2.42,0.59,1.83,19559,58744,0.4,115456,102997,0.8921,2533,0.0219,655,0.0057,6745,0.0584,0,0
55127,Walworth,Wisconsin,US,"Walworth County, Wisconsin",42.66858202,-88.54163073,20,0,0,2.51,0.6,1.9,16928,52687,0.5,103718,96669,0.932,606,0.0058,165,0.0016,1041,0.01,0,0
55131,Washington,Wisconsin,US,"Washington County, Wisconsin",43.36863664,-88.22974712,57,3,0,2.53,0.63,1.91,22636,72552,0.6,135693,127836,0.9421,1803,0.0133,379,0.0028,1890,0.0139,81,0.0006
55133,Waukesha,Wisconsin,US,"Waukesha County, Wisconsin",43.01833055,-88.30431188,160,4,0,2.52,0.61,1.91,69991,211019,0.6,403072,370951,0.9203,6914,0.0172,889,0.0022,15919,0.0395,103,0.0003
55139,Winnebago,Wisconsin,US,"Winnebago County, Wisconsin",44.06886922,-88.64477096,24,1,0,2.34,0.53,1.81,26174,86780,0.8,171020,156662,0.916,3742,0.0219,966,0.0056,4991,0.0292,0,0
55141,Wood,Wisconsin,US,"Wood County, Wisconsin",44.45537896,-90.04158336,2,0,0,2.34,0.54,1.8,14436,35837,0.2,73055,68932,0.9436,778,0.0106,573,0.0078,535,0.0073,10,0.0001
56021,Laramie,Wyoming,US,"Laramie County, Wyoming",41.3070252,-104.6887497,44,0,0,2.4,0.59,1.8,14718,48206,0.5,98976,90038,0.9097,2005,0.0203,686,0.0069,1611,0.0163,60,0.0006
56025,Natrona,Wyoming,US,"Natrona County, Wyoming",42.96180148,-106.797885,25,0,0,2.41,0.59,1.83,11087,40905,0.3,79115,74527,0.942,64,0.0008,1363,0.0172,131,0.0017,742,0.0094
,,,,,,,,,,,,,,,,,,,,,,,,,,
36047,,,,"Kings County, New York",,,,,,2.69,0.64,2.05,343548,1189261,61.4,2582830,1125773,0.4359,827041,0.3202,7200,0.0028,300232,0.1162,1370,0.0005
36081,,,,"Queens County, New York",,,,,,2.82,0.59,2.23,340656,1098078,51.3,2278906,848180,0.3722,419389,0.184,10219,0.0045,588677,0.2583,822,0.0004
36085,,,,"Richmond County, New York",,,,,,2.78,0.66,2.13,73325,208212,29.7,476179,347986,0.7308,47098,0.0989,451,0.0009,48714,0.1023,197,0.0004
36005,,,,"Bronx County, New York",,,,,,2.77,0.75,2.02,174470,578100,59.9,1432132,321890,0.2248,509310,0.3556,8717,0.0061,54467,0.038,1945,0.0014
49057,,,,"Weber County, Utah",,,,,,2.9,0.88,2.03,27885,117743,1.5,256359,229351,0.8946,2960,0.0115,1509,0.0059,2481,0.0097,1083,0.0042
17099,,,,"LaSalle County, Illinois",,,,,,2.45,0.58,1.87,19959,50258,0.3,109430,100371,0.9172,3547,0.0324,64,0.0006,938,0.0086,0,0
